Doctor_ID,Doctor_Name,Department,Experience_Years,Hospital_Branch,Consultation_Fee
DOC0001,Gary Hawkins,Pediatrics,28,Delhi,2252
DOC0002,Alyssa Lopez,Oncology,5,Mumbai,2572
DOC0003,Adam Mcdonald,Neurology,7,Pune,557
DOC0004,Rachel Brooks,Pediatrics,16,Bangalore,813
DOC0005,Micheal Baker,Cardiology,8,Pune,2183
DOC0006,Crystal Wilson,Orthopedics,6,Pune,1870
DOC0007,Kelly James,General Medicine,4,Bangalore,1026
DOC0008,Patrick Harrison,Pediatrics,30,Hyderabad,1361
DOC0009,Sarah Ortiz,Pediatrics,3,Pune,1459
DOC0010,Blake Peterson,Pediatrics,16,Hyderabad,800
DOC0011,Victoria Velazquez,Neurology,14,Bangalore,1638
DOC0012,Paul Smith,Dermatology,14,Hyderabad,1625
DOC0013,Ethan Johnson,ENT,4,Mumbai,1198
DOC0014,Lindsey Escobar,Cardiology,26,Delhi,741
DOC0015,Richard Hayden,Orthopedics,27,Hyderabad,913
DOC0016,Kayla Thomas,Pediatrics,17,Bangalore,994
DOC0017,Susan Fisher,Neurology,18,Bangalore,2653
DOC0018,Patrick Martinez,Neurology,30,Delhi,717
DOC0019,Daniel Bennett,Neurology,10,Pune,686
DOC0020,Thomas Allen,Orthopedics,7,Bangalore,1523
DOC0021,Lisa Gomez,Pediatrics,21,Hyderabad,2126
DOC0022,Rebecca Baker,Orthopedics,17,Hyderabad,560
DOC0023,Christine Holmes,Neurology,26,Bangalore,697
DOC0024,Alexis Luna,Neurology,28,Mumbai,1492
DOC0025,James Andrews,Pediatrics,14,Mumbai,834
DOC0026,Alan Calhoun,Dermatology,16,Pune,2118
DOC0027,Jessica Hines,Cardiology,5,Pune,889
DOC0028,Gail Moss,Dermatology,18,Hyderabad,1237
DOC0029,Brian Thomas,ENT,17,Hyderabad,2777
DOC0030,Angela Black,General Medicine,28,Pune,2599
DOC0031,Melanie Villa,ENT,3,Hyderabad,814
DOC0032,Thomas Cobb,Oncology,28,Hyderabad,1440
DOC0033,Hannah Martin,General Medicine,16,Pune,687
DOC0034,Stephen Kennedy,Pediatrics,3,Delhi,1546
DOC0035,Kenneth Jones,ENT,8,Delhi,2772
DOC0036,Jessica Brown,Cardiology,6,Hyderabad,1174
DOC0037,Thomas Hardy,Neurology,7,Delhi,822
DOC0038,Christina Cummings,General Medicine,27,Hyderabad,1207
DOC0039,Shawna Lee,General Medicine,21,Delhi,1732
DOC0040,Natalie Salazar,Oncology,1,Bangalore,1710
DOC0041,Melissa Lopez,General Medicine,13,Hyderabad,2402
DOC0042,Christopher Lee,General Medicine,5,Bangalore,2804
DOC0043,Nathaniel Griffin,Dermatology,8,Bangalore,2874
DOC0044,Erik Wong,Cardiology,25,Delhi,874
DOC0045,Brandon Watson Jr.,ENT,14,Hyderabad,2994
DOC0046,Mary Byrd,Oncology,8,Bangalore,1973
DOC0047,Kenneth Hall,Cardiology,2,Bangalore,925
DOC0048,Kristin Marshall,Pediatrics,3,Delhi,1311
DOC0049,Joseph Burke Jr.,Cardiology,7,Delhi,2315
DOC0050,Zachary Wells,Dermatology,28,Pune,788
DOC0051,Jason Crosby,ENT,1,Pune,935
DOC0052,Luis Cole,Dermatology,22,Pune,2778
DOC0053,Lance Sullivan,General Medicine,28,Pune,1773
DOC0054,Desiree Obrien,Orthopedics,26,Delhi,2954
DOC0055,Michael Crawford,ENT,5,Hyderabad,1767
DOC0056,Kristen Garcia,Neurology,17,Delhi,2689
DOC0057,Kristen Parks,Dermatology,19,Pune,2975
DOC0058,James Smith,Orthopedics,8,Bangalore,1542
DOC0059,Phillip Ortiz,General Medicine,2,Bangalore,2015
DOC0060,Shannon Marshall,ENT,5,Bangalore,2541
DOC0061,Brian Mora,ENT,6,Delhi,1411
DOC0062,Samantha Howard,Dermatology,28,Mumbai,2153
DOC0063,Scott Martin,Orthopedics,1,Hyderabad,804
DOC0064,Carlos Hanson,Dermatology,1,Bangalore,2892
DOC0065,Todd Rivera,General Medicine,4,Pune,1145
DOC0066,Timothy Ford,Oncology,3,Hyderabad,617
DOC0067,Joseph Hoffman,Neurology,15,Delhi,2098
DOC0068,Lance Sweeney,Dermatology,27,Hyderabad,2039
DOC0069,Andrew Shaw,Oncology,27,Pune,1049
DOC0070,Stacey Thomas,Neurology,23,Hyderabad,1986
DOC0071,Christopher Montoya,Oncology,27,Bangalore,2603
DOC0072,Cathy Cherry,General Medicine,24,Delhi,1748
DOC0073,Ashley Cruz,ENT,2,Bangalore,2370
DOC0074,Kimberly Melendez,Neurology,27,Mumbai,2206
DOC0075,Marvin Smith,Pediatrics,13,Bangalore,2073
DOC0076,Johnny Mann,General Medicine,4,Pune,1792
DOC0077,Dana Dean,Dermatology,13,Pune,2374
DOC0078,Anita Smith,Neurology,11,Pune,959
DOC0079,Gabriela Miranda,Neurology,27,Delhi,1074
DOC0080,Margaret Combs,Cardiology,30,Pune,573
DOC0081,Amanda Medina,Neurology,17,Delhi,1882
DOC0082,Norma Wilkinson,Oncology,25,Bangalore,2833
DOC0083,Douglas Weaver,Dermatology,16,Hyderabad,1260
DOC0084,Sabrina Valencia,Dermatology,6,Bangalore,1888
DOC0085,Scott Contreras,Orthopedics,12,Pune,2224
DOC0086,Michelle Martin,Neurology,12,Delhi,1473
DOC0087,Anthony Pope,Oncology,12,Hyderabad,2602
DOC0088,James Fowler,General Medicine,18,Delhi,2612
DOC0089,Alyssa Torres,Dermatology,3,Hyderabad,2265
DOC0090,Jason Brown,Oncology,25,Delhi,1535
DOC0091,Brett Macias,Oncology,9,Mumbai,1159
DOC0092,Jessica Baldwin,ENT,18,Bangalore,1388
DOC0093,Brian White,Orthopedics,27,Delhi,513
DOC0094,Shelia Mills,Neurology,23,Mumbai,1397
DOC0095,Brittany Jenkins,Oncology,1,Hyderabad,556
DOC0096,Ryan Fuller,General Medicine,1,Delhi,1512
DOC0097,John Wright,ENT,30,Pune,1911
